
28642;Recenzent;Diagramowa analiza przedziałowa z zastosowaniami;Praca habilitacyjna 04/10/2007;Zenon Kulpa (autor rozprawy habilitacyjnej), Jacek Błażewicz (recenzent), Witold Kosiński (recenzent), Jerzy Klamka (recenzent), Ewa Grabska (recenzent);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca), Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Recenzent;Modelowanie rozpływu krwi w sieciach naczyń człowieka;Praca doktorska 05/05/2006;Marek Rybaczuk (promotor), Witold Kosiński (recenzent), Maciej Kulisiewicz (recenzent), Elżbieta Gabryś (autor rozprawy doktorskiej);"Politechnika Wrocławska; Wydział Mechaniczny; Instytut Materiałoznawstwa i Mechaniki Technicznej (nadająca stopień), Politechnika Wrocławska; Wydział Mechaniczny (wykonująca)"
28642;Recenzent;Sieci neuronowe do samolokalizacji ruchomych robotów;Praca doktorska 28/10/1999;Krzysztof Kozłowski (recenzent), Witold Kosiński (recenzent), Adam Borkowski (promotor), Artur Dubrawski (autor rozprawy doktorskiej), James Crowley (recenzent);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca), Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Metazbiory. Implementacja relacji i operacji algebraicznych;Praca doktorska 21/10/2009;Witold Kosiński (promotor), Maciej Wygralak (recenzent), Leonard Bolc (recenzent), Bartłomiej Starosta (autor rozprawy doktorskiej);"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie; Wydział Informatyki (nadająca stopień)"
28642;Promotor;Analiza algorytmów genetycznych jako układów dynamicznych;Praca doktorska 18/06/2009;Robert Schaefer (recenzent), Witold Kosiński (promotor), Janusz Szczepański (recenzent), Stefan Kotowski (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca), Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Optymalizacja metody nakładania obrazów binarnych, mało wrażliwej na błędy w danych;Praca doktorska 28/02/2008;Mariusz Nieniewski (recenzent), Witold Kosiński (promotor), Artur Przelaskowski (recenzent), Piotr Gut (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień), Świętokrzyskie Centrum Onkologii (pierwszego wdrożenia)
28642;Promotor;Klasyfikacja instrumentów strunowych w multimedialnych bazach danych ze szczególnym uwzględnieniem artykulacji pizzicato;Praca doktorska 31/01/2008;Bożena Kostek (recenzent), Witold Kosiński (promotor), Ryszard Gubrynowicz (recenzent), Krzysztof Tyburek (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Zastosowanie dyskretnego, ortogonalnego operatora Hurwitza-Radona w kompresji i rekonstrukcji konturów obrazów monochromatycznych;Praca doktorska 28/06/2007;Konrad Wojciechowski (recenzent), Władysław Skarbek (recenzent), Witold Kosiński (promotor), Dariusz Jakóbczak (autor rozprawy doktorskiej);Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie (nadająca stopień)
28642;Promotor;Konstrukcja klasyfikatora obiektów z wykorzystaniem algorytmu badania liniowej rozdzielności dwóch zbiorów;Praca doktorska 25/05/2006;Witold Kosiński (promotor), Zbigniew Kotulski (recenzent), Krzysztof Diks (recenzent), Dorota Cendrowska (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca), Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Algorytmizacja działań na liczbach rozmytych i jej zastosowania;Praca doktorska 30/06/2005;Witold Kosiński (promotor), Piotr Prokopowicz (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Efektywność algorytmów adaptacji warstwowych sieci neuronowych;Praca doktorska 31/10/2002;Witold Kosiński (promotor), Piotr Gołąbek (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Adaptacyjny dobór metody krzyżowania w binarnym algorytmie genetycznym;Praca doktorska 04/06/1999;Zbigniew Michalewicz (recenzent), Witold Kosiński (promotor), Zbigniew Kotulski (recenzent), Paweł Kieś (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca), Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Sieci neuronowe i rozmyte systemy wnioskujące w problemach aproksymacji;Praca doktorska 29/06/1995;Witold Kosiński (promotor), Martyna Weigl (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Promotor;Model dyskretny do smulacji komputerowej uderzenia sztywno-lepkoplastycznego walca o przegrodę;Praca doktorska 21/01/1993;Witold Kosiński (promotor), Anna Nowińska (autor rozprawy doktorskiej);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (nadająca stopień)
28642;Wykonawca;Metody sztucznej inteligencji w rozwiązywaniu problemów;30/09/2007;Jerzy Sas (wykonawca), Janusz Sobecki (wykonawca), Bogdan Trawiński (wykonawca), Witold Kosiński (wykonawca), Kazimierz Frączkowski (wykonawca), Urszula Markowska-Kaczmar (kierownik, wykonawca), Zygmunt Mazur (wykonawca), Zbigniew Szpunar (wykonawca), Elżbieta Hudyma (wykonawca), Adam Janiak (wykonawca) (Więcej)>>;"Politechnika Wrocławska; Wydział Informatyki i Zarządzania; Instytut Informatyki Stosowanej (wykonująca), Ministerstwo Nauki i Szkolnictwa Wyższego (zamawiająca)"
28642;Wykonawca;Algorytmizacja działań na liczbach rozmytych i jej zastosowania;Praca badawcza 30/06/2005;Witold Kosiński (wykonawca), Piotr Prokopowicz (kierownik);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca)
28642;Kierownik;Analiza ergodyczności operatorów w algorytmach genetycznych;Praca naukowa 30/06/2001;Zbigniew Michalewicz (główny wykonawca), Witold Kosiński (kierownik), Andrzej Ossowski (główny wykonawca), Paweł Kieś (główny wykonawca);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca), Ministerstwo Nauki i Informatyzacji (zamawiająca)
28642;Kierownik;Zastosowanie teorii aproksymacji stochastycznej i regularyzacji do optymalnego doboru parametrów w sieciach neuronowych;Praca naukowa 30/06/2001;Witold Kosiński (kierownik);Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk (wykonująca)
242961;Promotor;Ocena zrównoważoności pozyskiwania energii z osadów ściekowych;Praca doktorska 14/06/2012;Wojciech Jarzyna (recenzent), Tomasz Winnicki (recenzent), Artur Pawłowski (promotor), Yucheng Cao (autor rozprawy doktorskiej), Zhihong Cao (promotor);"Politechnika Lubelska; Wydział Inżynierii Środowiska (wykonująca), Politechnika Lubelska; Wydział Inżynierii Środowiska (nadająca stopień)"
